ID,场景,区块,名称,初版翻译,其他备选,第三版翻译,
1,Q01,Q01,青鸾峰,Qingluan Peak,,Qingluan Peak,
2,Q01,Q01Y,青鸾峰,Qingluan Peak,,Qingluan Peak,
3,Q01,N01,小木屋,Small Cabin,,Small Cabin,
4,Q01,N02,小木屋,Small Cabin,,Small Cabin,
5,Q01,N02Y,小木屋,Small Cabin,,Small Cabin,
6,Q01,N03,树屋,Tree House,,Tree House,
7,Q01,N03Y,树屋,Tree House,,Tree House,
8,Q02,Q02,太平村,Taiping Village,,Taiping Village,
9,Q02,N02,大李铁铺,Dali Iron Shop,,Dali Iron Shop,
10,Q02,N03,石匠铺,Stonemason shop,,Stonemason shop,
11,Q02,N05,村长家厨房,Chief's Kitchen,,Chief's Kitchen,
12,Q02,N06,村长家上层,Chief's Upper,,Chief's Upper,
13,Q02,N07,祠堂,Ancestral Hall,,Ancestral Hall,
14,Q02,N08,民居甲,Residence A,,Residence A,
15,Q02,N08a,村长家下层,Chief's  Lower,,Chief's  Lower,
16,Q02,N10a,民居乙,Residence B,,Residence B,
17,Q02,N10b,民居丙,Residence C,,Residence C,
18,Q02,N10c,民居丁,Residence D,,Residence D,
19,Q02,N10d,民居戊,Residence Wu,,Residence Wu,
20,Q03,Q03S,寿阳城,Shouyang City,,Shouyang City,
21,Q03,SN01,如意铺,Ruyi Shop,,Ruyi Shop,
22,Q03,SN03,涵草堂,Hancaotang,,Hancaotang,
23,Q03,SN05,铁泽居,Tieze Residence,,Tieze Residence,
24,Q03,SN06,阳春客栈大堂,Inn hall,,Inn hall,
25,Q03,SN07,阳春客栈走廊,Inn corridor,,Inn corridor,
26,Q03,SN08a,阳春客栈客房甲,InnGuest Room A,,InnGuest Room A,
27,Q03,SN08b,阳春客栈客房乙,InnGuest Room B,,InnGuest Room B,
28,Q03,SN09a,民居甲厅堂,Residence A Hall,,Residence A Hall,
29,Q03,SN09b,民居乙厅堂,Residence B Hall,,Residence B Hall,
30,Q03,SN10a,民居甲卧房,Residence A room,,Residence A room,
31,Q03,SN10b,民居乙卧房,Residence B room,,Residence B room,
32,Q03,SN11a,民居丙,Residence C,,Residence C,
33,Q03,SN11b,民居丁,Residence D,,Residence D,
34,Q03,SN11c,民居戊,Residence E,,Residence E,
35,Q03,SN11d,民居已,Residence F,,Residence F,
36,Q03,SN11e,民居庚,Residence Geng,,Residence Geng,
37,Q03,Q03X,柳府,Liu Mansion,,Liu Mansion,
38,Q03,Q03XY,柳府,Liu Mansion,,Liu Mansion,
39,Q03,XN01,厨房,Kitchen,,Kitchen,
40,Q03,XN02,下人卧房,Servant's room,,Servant's room,
41,Q03,XN03,客房,Guest Room,,Guest Room,
42,Q03,XN03Y,客房,Guest Room,,Guest Room,
43,Q03,XN04,前厅,Front Hall,,Front Hall,
44,Q03,XN04Y,前厅,Front Hall,,Front Hall,
45,Q03,XN05,经堂,Scripture Hall,,Scripture Hall,
46,Q03,XN06,书房,Study,,Study,
47,Q03,XN07,主人卧房,Master Bedroom,,Master Bedroom,
48,Q03,XN08,工房,Workshop,,Workshop,
49,Q03,XN09,梦璃闺房,Mengli's room,,Mengli's room,
50,Q04,Q04C,陈州城,Chenzhou City,,Chenzhou City,
51,Q04,Q04CY,陈州城,Chenzhou City,,Chenzhou City,
52,Q04,CN01,璎珞斋,Yingluo Zhai,,Yingluo Zhai,
53,Q04,CN01Y,璎珞斋,Yingluo Zhai,,Yingluo Zhai,
54,Q04,CN02,宝气钱庄,Treasure Bank,,Treasure Bank,
55,Q04,CN03,升平客栈大堂,Inn Hall,,Inn Hall,
56,Q04,CN03Y,升平客栈大堂,Inn Hall,,Inn Hall,
57,Q04,CN04,升平客栈走廊,Inn Corridor,,Inn Corridor,
58,Q04,CN04Y,升平客栈走廊,Inn Corridor,,Inn Corridor,
59,Q04,CN05a,升平客栈客房甲,InnGuest Room A,,InnGuest Room A,
60,Q04,CN05b,升平客栈客房乙,InnGuest Room B,,InnGuest Room B,
61,Q04,CN05c,升平客栈客房丙,InnGuest Room C,,InnGuest Room C,
62,Q04,CN05Ya,升平客栈客房甲,InnGuest Room A,,InnGuest Room A,
63,Q04,CN05Yb,升平客栈客房乙,InnGuest Room B,,InnGuest Room B,
64,Q04,CN05Yc,升平客栈客房丙,InnGuest Room C,,InnGuest Room C,
65,Q04,CN06,千斗酒坊厅堂,Wine Shop Hall,,Wine Shop Hall,
66,Q04,CN07,千斗酒坊雅座,Wine Shop Private Rm,,Wine Shop Private Rm,
67,Q04,CN08,悬壶医馆,Hanging Clinic,,Hanging Clinic,
68,Q04,CN08Y,悬壶医馆,Hanging Clinic,,Hanging Clinic,
69,Q04,CN09,百炼清钢,Pure Steel,,Pure Steel,
70,Q04,CN09Y,百炼清钢,Pure Steel,,Pure Steel,
71,Q04,CN101,董广号下层,DG Shop Lower,,DG Shop Lower,
72,Q04,CN102,董广号上层,DG Shop Upper,,DG Shop Upper,
73,Q04,CN11,倚栏歌榭,Singing Pavilion,,Singing Pavilion,
74,Q04,CN11Y,倚栏歌榭,Singing Pavilion,,Singing Pavilion,
75,Q04,CN12,驯象人房,Elephant Tamer's rm,,Elephant Tamer's rm,
76,Q04,CN13a,民居甲,Residence A,,Residence A,
77,Q04,CN13b,民居乙,Residence B,,Residence B,
78,Q04,CN13c,民居丙,Residence C,,Residence C,
79,Q04,CN13d,民居丁,Residence D,,Residence D,
80,Q04,CN14a,民居戊,Residence E,,Residence E,
81,Q04,CN14b,民居已,Residence F,,Residence F,
82,Q04,Q04H,湖心岛,Lake Heart Isle,,Lake Heart Isle,
83,Q04,Q04HY,湖心岛,Lake Heart Isle,,Lake Heart Isle,
84,Q04,HN01,大雄宝殿,Mahavira Hall,,Mahavira Hall,
85,Q04,HN03a,僧房甲,Monk's Room A,,Monk's Room A,
86,Q04,HN03b,僧房乙,Monk's Room B,,Monk's Room B,
87,Q04,HN03c,僧房丙,Monk's Room C,,Monk's Room C,
88,Q04,HN04,厨房,Kitchen,,Kitchen,
89,Q05,Q05,播仙镇,Buxian Town,,Buxian Town,
90,Q05,Q05P,播仙镇,Buxian Town,,Buxian Town,
91,Q05,N01a,车马驿客房甲,Inn Guest Rm A,,Inn Guest Rm A,
92,Q05,N01b,车马驿客房乙,Inn Guest Rm B,,Inn Guest Rm B,
93,Q05,N01c,车马驿客房丙,Inn Guest RmC,,Inn Guest RmC,
94,Q05,N02,车马驿大堂,Carriage MainHall,,Carriage MainHall,
95,Q05,N03,绿洲酒肆,Oasis Tavern,,Oasis Tavern,
96,Q05,N04,精铁铸,Iron Casting,,Iron Casting,
97,Q05,N05a,民居甲,Residence A,,Residence A,
98,Q05,N05b,民居乙,Residence B,,Residence B,
99,Q05,N05c,民居丙,Residence C,,Residence C,
100,Q05,N05d,民居丁,Residence D,,Residence D,
101,Q05,N06,民居戊,Residence Wu,,Residence Wu,
102,Q06,Q06Q,前山,Front Mountain,,Front Mountain,
103,Q06,Q06QY,前山,Front Mountain,,Front Mountain,
104,Q06,QN01,祭地,Sacrifice Earth,,Sacrifice Earth,
105,Q06,QN02,敬天,Respect Heaven,,Respect Heaven,
106,Q06,QN03,琼华宫,Qionghua Palace,,Qionghua Palace,
107,Q06,QN03Y,琼华宫,Qionghua Palace,,Qionghua Palace,
108,Q06,QN04,菱纱、梦璃房间,Lingsha&Mengli's rm,,Lingsha&Mengli's rm,
109,Q06,QN05,云天河房间,Yun Tianhe Room,,Yun Tianhe Room,
