ID,仙术名称,第一版翻译,第二版翻译,其他备选
5000,冰咒,Ice Charm,Icicle,
5001,雨润,Rain Nurture,Refresh      ,
5002,烟水还魂,Misty Revive,Soulwake     ,
5003,无相化法,Formless Art,Formless Art,
5004,风雪冰天,Blizzard,Blizzard      ,
5005,五气连波,Five Qi Surge,Chi Wave ,
5006,炎咒,Flame Charm,Scorch,
5007,火暖魄,Fire Warmth,Fire Warmth,
5008,三昧真火,Samadhi Fire,Fire Ring,
5009,魔焰熔金,Demon Flame,Demon Flame,
5010,流星火雨,Fire Meteor,Flare Comet,
5011,炼狱火海,Inferno,Inferno       ,
5012,雷咒,Thunder Charm,Shock,
5013,天罡战气,Battle Aura,War Spirit,
5014,惊雷闪,Thunder Flash,Bolt Rain,
5015,天雷空破,Sky Thunder,Skysmite,
5016,电擎雷界,Lightning Field,Lightning Field,
5017,雷动九天,Thunder Heaven,Heavenwrath,
5018,风咒,Wind Charm,Gust  ,
5019,仙风云体,Wind Form,Cloud Steps,
5020,刃风壁,Wind Barrier,Wind Barrier,
5021,风卷尘生,Whirlwind,Tornado ,
5022,如沐春风,Spring Breeze,Spring Breeze,
5023,风归云隐,Vanish Wind,Vanish Wind,
5024,土咒,Earth Charm,Upheaval,
5025,真元护体,Essence Guard,Spirit Shell ,
5026,承天载物,Earth Bearer,Tranquility ,
5027,流砂袭,Quicksand,Quicksand,
5028,艮山壁障,Mountain Barrier,Mountain Barrier,
5029,星沉地动,Earthquake,Astra Blast,
以下是敌方仙术,,,,
5030,冰刺,Ice Spike,Ice Spike  ,
5031,云之幻境,Cloud Realm,Cloud Mirage  ,
5032,业火,Hellfire,Hellfire  ,
5033,怒炎,Furious Flame,Ragefire  ,
5034,爆烈袭,Explosive Strike,Burst Strike  ,
5035,离火,Fire Spell,Li Fire  ,
5036,轰雷,Thunder Strike,Thunderclap  ,
5037,定电,Static Shock,Stun Bolt  ,
5038,狂雷,Thunder Fury,Wild Thunder  ,
5039,晴岚击,Qinglan Strike,Clear Haze Strike  ,
5040,风声鹤唳,Wind Cry,Crane Cry  ,
5041,掷岩,Throw Rock,Rock Toss  ,
5042,流沙袭,Sandstorm Strike,Quicksand  ,
5043,陷空,Skyfall,Void Trap  ,
5701,混元风,Mixed Wind,Primordial Wind  ,
5702,旋风咒,Whirlwind Spell,Whirlwind  ,
5703,邪风术,Evil Wind Technique,Evil Wind  ,
5704,魔炎闪空,Demon Flame Flash Sky,Demon Flash  ,
5705,离魂咒,Soul-Sundering Spell,Soul Depart  ,
5706,醉梦引,Drunken Dream Lure,Drunken Dream  ,
5707,风露饮,Wind Dew Drink,Wind Dew  ,
5708,裂岩击,Rock-Splitting Strike,Rock Split  ,
5709,泰山压顶,Mount Tai Presses Down,Mountain Press  ,
5710,炙焰吼,Flame Roar,Scorch Roar  ,
5711,魔焰焚,Demon Flame Burn,Demon Burn  ,
5712,焚天灭地,Burning Heaven Annihilating Earth,Heaven Burn  ,
5713,风羽袭,Feather Assault,Wind Feather  ,
5714,扬羽流风,Soaring Feather Flowing Wind,Feather Wind  ,
5715,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5716,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5717,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5718,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5719,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5720,五灵空转,Five Elements Empty Spin,Quint-Elements Shift  ,
5721,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5722,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5723,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5724,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5725,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5726,五灵正法,Five Elements Righteous Law,Quint-Elements Sanction,
5727,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5728,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5729,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5730,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5731,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5732,五芒镇邪破,Pentagram Evil-Suppressing Break,Pentagram Break  ,
5733,凝露,Dewdrop,Condense Dew  ,
5734,长烟落瘴,Long Mist Falling Miasma,Falling Miasma  ,
5735,句芒,Ju Mang,Goumang  ,
5736,奔雷击,Thunder Strike,Thunder Charge  ,
5737,瞳幽,Tong You,Dark Glare  ,
5738,焚天雷,Skyfire Thunder,Burn Thunder  ,
5739,瞳幽,Tong You,Dark Glare  ,
5740,雷鸣恸天,Thunder Mourns the Sky,Thunder Roar  ,
5741,御风,Wind Control,Windride  ,
5742,雨恨云愁,"Rain Resentment, Cloud Sorrow",Rain Sorrow  ,
5743,玄霄,Xuanxiao,Xuanxiao  ,
5744,燃冰焚炎,Burning Ice Scorching Flame,Icefire Burn  ,
5745,雪舞冰封,"Snow Dance, Ice Seal",Snow Dance  ,
5746,燃冰焚焰,Burning Ice Scorching Flame,Icefire Blaze  ,
5747,废除仙术5747,Abolish Immortal Art 5747,Remove Spell 5747  ,
5748,废除仙术5748,Abolish Immortal Art 5748,Remove Spell 5748  ,
5749,废除仙术5749,Abolish Immortal Art 5749,Remove Spell 5749  ,
5750,废除仙术5750,Abolish Immortal Art 5750,Remove Spell 5750  ,
5751,废除仙术5751,Abolish Immortal Art 5751,Remove Spell 5751  ,
5752,废除仙术5752,Abolish Immortal Art 5752,Remove Spell 5752  ,
5753,废除仙术5753,Abolish Immortal Art 5753,Remove Spell 5753  ,
13001,晴岚击,Qinglan Strike,Clear Haze Strike  ,
13002,掷岩,Throw Rock,Rock Toss  ,
13003,掷岩,Throw Rock,Rock Toss  ,
13004,业火,Hellfire,Hellfire  ,
13005,狂雷,Thunder Fury,Wild Thunder  ,
13006,冰刺,Ice Spike,Ice Spike  ,
13007,云之幻境,Cloud Illusion Realm,Cloud Mirage  ,
13008,五气连波,Five Qi Continuous Wave,Chi Wave  ,
13009,冰刺,Ice Spike,Ice Spike  ,
13010,云之幻境,Cloud Illusion Realm,Cloud Mirage  ,
13011,冰刺,Ice Spike,Ice Spike  ,
13012,定电,Static Shock,Stun Bolt  ,
13013,狂雷,Thunder Fury,Wild Thunder  ,
13014,旋风咒,Whirlwind Spell,Whirlwind  ,
13015,旋风咒,Whirlwind Spell,Whirlwind  ,
