在剧情中出现,物品ID,物品名称,物品说明,物品属性说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,,
Y,3000,止血草,山野之中常见的草药，对于治疗外伤有不错的疗效。,我方单体，恢复少量精,Healing Herb,Mending Herb,Blood stopping Herb,Mending Herb,,"A common herb in the wild, quite effective for treating external injuries.",Single Small HP Recover
,3001,行军丹,江湖偏方，食之可使血脉通畅。,我方单体，恢复中等精,Marching Pill,,,Marching Pill,,Folk remedy; consuming it promotes blood circulation.,Single Moderate HP Recover
,3002,护心丹,方士秘炼的丹药，可助人迅速恢复体力。,我方单体，恢复大量精,Heart-Protecting Pill,,,Heart Pill,,"Alchemist's secret pill, helps quickly Recover Stamina.",Single Large HP Recover
Y,3003,紫菁玉蓉膏,仙人炼制的药膏，具有白骨生肌的神奇功效。,我方单体，恢复全部精,Purple Jade Cream,Renewal Salve,,Renewal Salve,,"An ointment refined by immortals, possessing the miraculous effect of regenerating flesh on bone.",Single Full HP Recover
,3004,龙胆草,有补血养精功效的奇草，百姓以为神赐之草，又因其味极苦，故曰“龙胆”。,我方全体，恢复中等精,Gentian Herb,,,Gentian Herb,,"A miraculous herb with blood-tonifying and essence-nourishing effects. Common folk consider it a god-given herb, and due to its extremely bitter taste, it's called Gentian.",Team Moderate HP Recover
,3005,晗灵果,生于仙山福地之中，蕴含山川灵气的果实，食之可使人容光焕发，精力大增。,我方全体，恢复大量精,Hanling Fruit,,,Hanling Fruit,,"Fruit born in blessed lands of immortal mountains, containing the spiritual energy of mountains and rivers. Eating it can make one radiant and greatly boost energy.",Team Large HP Recover
Y,3006,鼠儿果,山野中常见的一种果实，可以提神醒脑。,我方单体，恢复少量神,Mouse Fruit,Moonberry,,Moonberry,,A common wild fruit that refreshes and invigorates the mind.,Single Small MP Recover
,3007,还神丹,由方士精心炼制的丹药，用以提神。,我方单体，恢复中等神,Spirit-Returning Pill,Soothing Pill,,Soothing Pill,,A pill meticulously refined by a mystic to refresh the spirit.,Single Moderate MP Recover
,3008,四合寒香,奇寒彻骨，奇香阵阵，可瞬间宁人心智。,我方单体，恢复大量神,Four-in Cold Incense,,,ColdFocusIncense,,"Piercingly cold with a strange fragrance, instantly calms the mind.",Single Large MP Recover
,3009,天仙玉露,瓶内乃是灵道圣水化成的清气，嗅一下便精神百倍。,我方单体，恢复全部神,Celestial Jade Dew,Celestial Dew,,Celestial Dew,,The bottle contains clear qi transformed from sacred spiritual water; a sniff greatly refreshes the spirit.,Single Full MP Recover
,3010,玉真散,道家仙药，可调息人体经脉，还神归元。,我方全体，恢复少量神,Yuzhen Powder,,,Jade Powder,,"Daoist elixir, regulates meridians, restores spirit and vitality.",Team Small MP Recover
,3011,脂凝丸,绯红的丹丸，除了可调和气血，还能驻容养颜。,我方全体，恢复大量神,Fat-Coagulating Pill,,,Coagulate Pill,,"A crimson pill; besides regulating Qi and blood, it also preserves youth and beauty.",Team Large MP Recover
,3012,桂花芙蓉糕,使用糯米粉和桂花制成的糕点，入口香甜松软，桂花香味浓郁。,我方单体，回复一定比例精、神，不可在战斗中使用,OsmanthusLotusCake,,,Osmanthus Cake,,"Pastry made from Use glutinous rice flour and osmanthus, sweet and soft, rich osmanthus aroma.",Single certain proportion of HP and MP
Y,3013,八公山豆腐,采用八公山上甘洌清凉的泉水做成的豆腐，白如纯玉，细若凝脂，味道清爽。,我方单体，回复一定比例精、神，不可在战斗中使用,Bagong Mt. Tofu,,,Bagong Tofu,,"Tofu made from the sweet, cool spring water of Bagong Mountain. White as pure jade, fine as congealed fat, with a refreshing taste.","recover, can't be used in Battle."
Y,3014,炸馓子,陈州常见的一种炸面食，形如盘酥，入口脆香。,我方单体，回复一定比例精、神，不可在战斗中使用,Fried Dough Twists,,,Crisp Twists,,"A common fried dough snack in Chenzhou, shaped like coiled pastry, crisp and fragrant.",Single certain proportion of HP and MP
Y,3015,手抓饭,西域特有的手抓饭，油亮生辉，滋味鲜美，香气四溢。,我方单体，回复一定比例精、神，不可在战斗中使用,Pilaf,,,Pilaf,,"Unique Pilaf from the Western Regions, glossy and shiny, delicious and aromatic.","recover, can't be used in Battle."
Y,3016,红绿八宝饭,以江米为主料，加入蜜枣、红绿蜜饯丝等十几种原料制成，色彩富丽，甜糯油润。,我方单体，回复一定比例精、神，不可在战斗中使用,Eight-Treasure Rice,,,8-Treasure Rice,,"Made primarily from glutinous rice, with candied dates, assorted preserved fruit strips, and over a dozen other ingredients—rich in color, sweet, sticky, and glossy.",Single certain proportion of HP and MP
,3017,鬼城麻辣鸡,将调料淋在煮熟的鸡肉上，香辣味鲜，是酆都最常见的菜肴。,我方单体，回复一定比例精、神，不可在战斗中使用,Ghost City Chicken,,,GhostCityChicken,,"Seasonings poured over cooked chicken, spicy and flavorful, a most common dish in Fengdu.","recover, can't be used in Battle."
,3018,百枣银杏粥,用百合、大枣、银杏，加入少量冰糖，小火熬制而成的粥，滋阴润肺，祛除不良症状。,我方单体，回复一定比例精、神，不可在战斗中使用,JujubeGinkgoPorridge,,,Ginkgo Porridge,,"A porridge made with lily bulbs, jujubes, ginkgo nuts, and a small amount of rock sugar, simmered over low heat. Nourishes yin, moistens lungs, and dispels negative conditions.",Single certain proportion of HP and MP
