file,length_offset,text_offset,byte_length,original_text,translation
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95086,95090,42,云天河：（这地方好暗，以前都没进来过——）,"Yun Tianhe: (This place is so dark, never been in here before-)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95163,95167,22,云天河：（那是……？）,Yun Tianhe: (That's...?)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95198,95202,30,云天河：（……爹说过的机关？）,Yun Tianhe: (...The mechanism father mentioned?)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95248,95252,54,云天河：（爹说只要有这机关，其他人绝对不会闯到洞里。）,"Yun Tianhe: (Father said with this mechanism, no one else could ever break into the cave.)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95322,95326,26,云天河：……不～会～吧！！,Yun Tianhe: ... No~ way!!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95361,95365,68,云天河：刚才闯进来的那只，难不成就是爹说过的“妖怪”？……“猪妖”？,"Yun Tianhe: That thing that barged in earlier, could it be what Father called a 'yaoguai'? ...Is that a 'pig fiend'?"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95442,95446,26,云天河：所以才会开机关？！,Yun Tianhe: So that's why the mechanism opened?!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95496,95500,135,云天河：糟了、糟了！<colour red=255 green=187 blue=0 alpha=255>猪妖闯进了石沉溪洞，</colour><dc0>被爹知道我就惨了！怎么会这样？！</dc0>,"Yun Tianhe: Oh no, oh no!<colour red=255 green=187 blue=0 alpha=255> A pig fiend has broken into the Stone Sink Cave,</colour><dc0> if Father finds out, I'm done for! How could this happen?!</dc0>"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95651,95655,54,云天河：死猪妖，看我饶不了你！把你抓来烤上十遍八遍！！,"Yun Tianhe: Damn pig fiend, I won't let you off! I'll catch you and roast you dozen times over!!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95718,95722,52,云天河：……可是，又没见过妖怪，不知道打不打得过……,"Yun Tianhe: ... But... I've never seen a yaoguai before, I don't know if I can fight it..."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95790,95794,74,云天河：不行！打不过也要打，妖怪厉不厉害不知道，但爹生起气来我可是知道的。,"Yun Tianhe: No! Even if I can't win, I have to fight. I don't know if yaoguais are powerful, but I know how angry Father gets."
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95884,95888,30,云天河：死猪妖，快给我出来呀！,"Yun Tianhe: Damn pig fiend, come out right now!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,95979,95983,70,云天河：（……不太妙！越往里走地面的土越少，都看不清猪妖的脚印了——）,"Yun Tianhe: (...Not good! The further in I go, the less soil on the ground, and I can barely see the pig fiend's footprints-)"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96071,96075,18,云天河：（咦？！）,Yun Tianhe: (Huh?!)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96110,96114,42,云天河：（在那边！！死猪妖！看你往哪跑！）,Yun Tianhe: (Over there!! Damn pig fiend! See where you run!)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96222,96226,37,？？：啊！！谁这么卑鄙，居然放冷箭！	,"???: Ah!! Who's so despicable, firing a sneak arrow!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96279,96283,20,云天河：（那是……）,Yun Tianhe: (That's...)
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96326,96330,54,？？：咦？！——喂喂喂，到底有没有常识啊，把剑当箭射！,"??: Huh?!-Hey hey hey, do you have any common sense, shooting a sword like an arrow!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96400,96404,16,？？：可恶——！,??: Damn-!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96453,96457,80,少女：我说，你谁啊？难道是住在这里的山顶野人？居然趁别人不注意偷袭！阴～险～！！,"Young Girl: Hey, who are you? A mountain barbarian living here? Sneak attacking when others aren't looking! How underhanded!!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96569,96573,46,云天河：…………你……不是吧？怎么还会说人话？,Yun Tianhe: ...... You... no way? How can you still speak human language?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96628,96632,76,少女：这可奇怪了～你还不是一样站在这里同我说话？还是说～你是野猴子变的妖怪？,Young Girl: How strange~ Aren't you standing here talking to me too? Or are you~ a monster transformed from a wild monkey?
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96717,96721,32,云天河：你才是妖怪！我不饶你——,Yun Tianhe: You're the monster! I won't spare you-
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96769,96773,28,少女：喂，你、你别靠过来啊！,"Young Girl: Hey, you, don't come any closer!"
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96810,96814,58,少女：哼～比蛮力我可拼不过你，姑娘我有要事在身，不奉陪了！,Young Girl: Hmph~ I can't match your brute strength. This lady has important business-I'm not sticking around!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96889,96893,22,少女：看招～烟雨夺魂！,Young Girl: Take this~Misty Rain!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96952,96956,24,云天河：……呛死人了！！,Yun Tianhe: ...it's choking me!!
.\pal4-pack-tool\ToBeCompressed-script\M01.csb,96989,96993,26,云天河：糟糕，被它逃了……,"Yun Tianhe: Darn, it got away..."
