物品ID,物品类型,物品名称,物品说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译,,
3501,0,木剑,木头制成的长剑，多为道士用来驱鬼。（男用）,Wooden Sword,,,Wooden Sword,,"A longsword made of wood, often used by Taoists to exorcise ghosts. (Male use)"
3502,0,青铜剑,青铜熔铸而成的长剑，大巧若拙。（男用）,Bronze Sword,,,Bronze Sword,,"A longsword cast from bronze, great skill appearing clumsy. (Male use)"
3503,0,生铁剑,生铁打造的长剑，江湖上随处可见。（男用）,Iron Sword,,,Iron Sword,,"A longsword forged from pig iron, commonly seen in the martial world. (Male use)"
3504,0,铸云铁,厚厚的一块顽铁，虽然笨重，但砍劈时力量巨大。（男用）,Cloud-Forging Iron,,,Cloud Iron,,"A thick, stubborn piece of iron; cumbersome, but delivers great slashing power. (For men)"
3505,0,锋灵刃,剑锋犀利，有青光流溢，冰冷而又带几分雅致。（男用）,Sharp Spirit Blade,,,Spirit Blade,,"The blade is sharp, with a flowing cyan glow, cold yet elegant. (For men)"
3506,0,流光刃,精铁打造的长剑，在月光下可以看到剑刃发出神秘的寒光。（男用）,Flowing Blade,,,Flowing Blade,,"Long sword forged from refined iron. Under moonlight, blade emits mysterious cold light. (For males)"
3507,0,蕴华剑,铸造时吸收日月之光华，因而威力不俗。（男用）,Yunhua Sword,,,Sunmoon Sword,,"Forged to absorb the brilliance of sun and moon, thus quite powerful. (For men)"
3508,0,凌风剑,手持此剑者临风挥砍，则听到风声锐利，犹如剑刃直刺人心。（男用）,Lingfeng Sword,,,Windrider Sword,,"When wielded and swung in the wind, it produces sharp whistling sounds, as if the blade pierces the heart. (Male)"
3509,0,玉柄龙吟剑,挥剑时伴随龙吟清啸，天地之气为之一荡。（男用）,Jade Hilt Dragon Chant Sword,,,Jade-Hilt DragonSword,,"Sword swings accompanied by dragon's roar, stirring the energy of heaven and earth. (For men)"
3510,0,玄铁重剑,以千年玄铁打造而成，自行凝聚力量，但要靠内力深厚者激发方可发挥。（男用）,Mystic Iron Heavy Sword,,,Mystic Heavy Sword,,"Forged from millennium-old black iron, it accumulates power naturally but requires a master of deep inner strength to unleash it. (Male)"
3511,0,刺珏,剑刃刚劲锋利，削铁如泥，即使是玉石这样坚硬的东西，都能在一挥之间碎裂。（男用）,Thorned Jade,,,Jade Thorn,,"The blade is strong, sharp, and cuts iron like mud. Even something as hard as jade can shatter with a single swing. (For males)"
3512,0,凝霜,剑锋犀利，使用时真气在剑尖凝聚成霜，因此得名。（男用）,Frost Condensation,,,Frost Edge,,"The sword edge is sharp; when Use, true qi condenses into frost at the tip, hence its name. (For men)"
3513,0,绕指柔,以寒铁铸造而成的宝剑，柔韧异常，可绕于指上，使用时加以力道，便可爆发无穷力量，实乃以柔克刚之道。（男用）,Gentle as Silk,,,Finger Wrap,,"A sword forged from cold iron, exceptionally flexible, can wrap around a finger. When Use, applying force unleashes immense power, truly soft overcoming hard. (Male use)"
3514,0,玄瞑剑,据说铸炼此剑只在夜间进行，剑身吸收星月之气，寒光逼人。（男用）,Xuanming Sword,,,Dark Twilight Sword,,"Forged only at night, the blade absorbs stellar and lunar energy, emitting a chilling gleam. (Male)"
3515,0,鬼魁刃,将金刚石料熔于剑身，再用百毒加以炼制，并用马血淬取，伤人即死。（男用）,Ghost Demon Blade,,,Ghostblade,,"Forged by melting diamond ore into the blade, tempered with a hundred poisons and horse blood—a single strike can be fatal. (Male)"
3516,0,定魂剑,能够吸取恶鬼魂魄，提升自身威力的宝剑。（男用）,Soulbinding Sword,,,Soultether,,A sword capable of absorbing evil ghost souls to enhance its own power. (For men)
3517,0,崩鸣刃,此剑挥动之时伴有雷鸣，据说指石石崩，因此得名。（男用）,Bursting Blade,,,Thunderclap Blade,,"When this sword is swung, thunder accompanies; said to point at stone and it crumbles, hence its name. (For men)"
3518,0,镇域剑,此剑一出，便有震慑四野之威，传说将其供奉在祠堂中，便可保一方平安。（男用）,Domain-Suppressing Sword,,,Domain Sword,,"When drawn, this sword radiates awe-inspiring power across the land. Legend says enshrining it in Ancestral Hall ensures peace for the region. (Male use)"
3519,0,碎痕,剑身以飞瀑之力养成，剑锋所到之处无坚不摧，劈水则分开水路，劈山则土石崩坏。（男用）,Shatter,,,Crackmark,,"The blade is forged with the power of a flying waterfall; where its edge reaches, nothing stands unbroken—it parts water and shatters mountains. (For males)"
3520,0,紫宵银月,剑刃所至之处裂而无痕、伤不见血，实乃锋锐无比。（男用）,Purple Dawn Silver Moon,,,Purple Dawn Moon,,"Where the sword blade strikes, it cracks without trace, wounds without blood, truly extremely sharp. (For men)"
3521,0,函灵剑,此剑通灵，但需要内力深厚的人将其驯化，最终便可达到人剑合一之境。（男用）,Hanling Sword,,,Spiritcall Sword,,"This sword Channeling, but requires a master of profound inner strength to tame it, ultimately achieving unity of man and blade. (Male)"
3522,0,黯辰剑,剑出鞘时伴有紫色电光，挥星斩月，所向无敌。（天河）,Dark Star Sword,,,Dark Star,,"A sword that emits purple lightning when drawn, capable of cleaving stars and moon, invincible. (Tianhe)"
3523,0,火炼精,因可在暗夜之中吸引天地之间火灵，故剑身时常散发出火石之光，灵力异常强大。（紫英）,Fire Essence,,,Fire Essence,,"Because it can attract fire spirits from heaven and earth in the dark night, the sword body often emits a flint-like light, its spiritual power exceptionally strong. (Ziying)"
3524,0,飞雯焕日,练实为虚的至高境界，剑出鞘时，如长虹贯日，其景象端丽不可方物。（男用）,"Flying Clouds, Shining Sun",,,Rainbow Sunblade,,"The highest realm of turning solid into void. When drawn, the sword gleams like a rainbow piercing the sun, a sight of peerless beauty. (Male)"
3525,0,慑天,剑身若有若无，出剑能引风聚雷，贯注雷霆之威。持有者若未修行仙术，将遭反噬而亡。（男用）,Intimidating Heaven,,,Heaven's Fear,,"The blade seems intangible; drawing it summons wind and gathers thunder, channeling lightning's might. If the wielder lacks cultivation, they will suffer backlash and die. (For males)"
3526,1,峨嵋刺,一种奇门兵器，原本专门用于水战，又称分水峨嵋刺。（菱纱）,Emei Daggers,,,Emei Piercers,,"An exotic weapon, originally specialized for naval combat, also called water-splitting Emei Daggers. (Lingsha)"
3527,1,银光剑,精铁剑身镶以白银，挥动时有银光发出。（菱纱）,Silver Light Sword,,,Silver Gleam,,"Iron sword inlaid with silver, emits silver light when swung. (For Lingsha)"
3528,1,乌金剑,乌金打造的剑身，短小坚固。（菱纱）,Black Gold Sword,,,Blackgold Blade,,"A sword body forged from black gold, short and sturdy. (Lingsha)"
3529,1,萍沙剑,常用的双手武器，轻巧耐用，舞动起来如风如影。（菱纱）,Pingsha Sword,,,Sandrider,,"A common two-handed weapon, light and durable, wielded with the grace of wind and shadow. (Lingsha)"
3530,1,折红针,以赤铁打造，轻巧而便于携带，刃部隐隐发出红光。（菱纱）,Zhehong Needle,,,Crimson Needle,,"Forged from red iron, light and easy to carry, the blade faintly emits red light. (Lingsha)"
3531,1,望月,锋刃犹如新月，薄而锋利，舞动起来攻守兼备。（菱纱）,Moon Gaze,,,Moongaze,,"The blade is like a crescent moon, thin and sharp; wielding it offers both offense and defense. (Lingsha)"
3532,1,天心剑,剑柄镶有如意宝玉，据说能通人心，十分珍贵。（菱纱）,Tianxin Sword,,,Heart Sword,,"The hilt is inlaid with a precious 'Ruyi' jade, said to understand the heart, extremely valuable. (Lingsha)"
3533,1,太极双绝,蕴含太极之力，能调和五行之气，如以内力催动，则能增加其杀伤力。（菱纱）,Taiji Double Ultimate,,,Taiji Twin,,"Infused with Taiji energy, it harmonizes the five elements. When channeled with inner force, its destructive power increases. (Ling Sha)"
3534,1,沉渊勾,通灵之物，自身带煞，能感应千里之外的杀气。（菱纱）,Abyssal Hook,,,Deep Abyss Hook,,"Channeling object, , can sense killing spirit from a thousand miles away. (Lingsha)"
3535,1,月菱针,两端剑刃状如菱角，能吸月华之力，故夜间月光下使用最佳。（菱纱）,Moonthorn Needle,,,Moonthorn,,"The double-edged blade resembles water chestnut, absorbing moonlight; best used at night under the moon. (Lingsha)"
3536,1,寒梅,锐利而轻盈，拿在手中更觉有丝丝寒气冒出，绝非凡品。（菱纱）,Cold Plum,,,Winter Plum,,"Sharp and lightweight, holding it feels a slight chill emanating, definitely extraordinary. (For Lingsha)"
3537,1,蛇影,剑身流动，如青蛇游走，但由于此武器十分小巧，舞动时只能见其影而不可见其形。（菱纱）,Snake Shadow,,,Serpent Shadow,,"The blade flows like a green serpent, but as this Weapon is extremely small, when wielded, only its shadow is seen, not its form. (For Lingxia)"
3538,1,蟠龙爪,剑如其名，利如龙爪，剑身乃是用精钢锻造，无坚不摧。（菱纱）,Coiling Dragon Claw,,,Dragon Claw,,"True to its name, sharp as dragon claws; the blade is forged from fine steel, capable of destroying anything. (Lingsha)"
3539,1,飞瀑水吟,剑身挥动时有水流飞瀑之声，小巧中见壮阔，十分灵异，因而得名。（菱纱）,Waterfall Water Chant,,,Waterfall Chant,,"When the sword is swung, it makes the sound of flowing water and waterfalls. Small yet majestic, very mystical, hence its name. (Ling Sha)"
3540,1,回锋落雁,此剑广吸山川灵秀之气，凝聚于锋刃之上，故能以剑气伤人于无形。（菱纱）,"Returning Blade, Falling Goose",,,Falling Goose Blade,,"This sword widely absorbs the spiritual essence of mountains and rivers, concentrating it on its blade, thus able to wound with sword qi intangibly. (Ling Sha)"
3541,1,流霜月魄刃,剑刃由月光所化，挥动时能逆转五行之气为我所用，故所向披靡。（菱纱）,Frost Moon Blade,,,Moonfrost Blade,,"Blade forged from moonlight; when swung, reverses the five elements' qi for the wielder, making it invincible. (Lingsha)"
