source,target
————,————
人名/称呼,translation
云公子,Yun
天河,tianhe
夙玉,Suyu
夙瑶,Suyao
夙莘,Sushen
师兄,Martial Brother
师叔,Martial Uncle
师叔,Martial Aunt
师妹,Martial Sister
师姐,Martial Sister
师弟,Martial Brother
师侄,martial nephew
师父,Master
掌门,Sect Leader
梦璃,Mengli
玄霄,Xuanxiao
玄震,Xuanzhen
紫英,Ziying
菱纱,Lingsha
野人,barbarian
山顶野人,mountain barbarian
韩菱纱,Han Lingsha
慕容紫英,Murong Ziying
云天河,Yun Tianhe
柳梦璃,Liu Mengli
衔烛之龙,Candle-Holding Dragon
九天玄女,Ninth Heaven Xuannü
伯父,Uncle
官差,Constable
柳大人,Lord Liu
柳伯伯,Uncle Liu
柳波波,Ankle Liu
柳伯母,Aunt Liu
柳波母,Ant Liu
璃儿, Lili
姑爷,Young Master
咸枝,Wordy-net-few
柳夫人,Madame Liu
云大侠,Great Hero Yun
粉折张,Noodles Zhang
冰块脸,ice-face
妖界之主,the Mistress of the Yao Realm
幻暝界主人, the Mistress of the Twilight Realm
孩儿,your child 
壬癸,Rengui
好梦璃,my dear Mengli
琴姬,Qin Ji
赫依里,Kheiri
乌依古尔,Uygur
艾沙,Eysa
阿丹,Adan
伊哈桑,Ihasan
乔勒旁,Cholpan
萨迪克,Sadiq
塔依夫,Tayif
曼丽,Menli
泽依同,Zeytun
阿克木,Akim
阿娜尔,Anar
尼露拜尔,Nilufar
沙吾提,Sawut
铁木尔,Tomur
阿依汗,Ayhan
阿布都,Abdu
萨比尔,Sabir
阿依慕,Ayim
穆哈希木,Muhasim
阿克,Ake
沙木沙克,Samsak
塔吉古丽,Tajigul
西丁,Xidin
奈蒂尔,Nadir
古兰慕,Gulam
吉顺,Jishun
沙依木那,Shayimuna
阿比旦,Abida
阿吉达,Ajida
阿库,Aku
艾里西尔,Elshir
艾米拉,Amila
安尼瓦尔,Anwar
拜合蒂,Bahti
狄丽拜尔,Dilbar
喀玛勒,Kamal
库莫若,Kumoru
莱丽,Leyli
兰蒂,Lanti
鲁桑娜,Rusanna
露丽尔,Lulir
穆南娃尔,Munawar
帕塔木,Patam
帕夏,Pasha
萨瓦桑,Sawasang
萨西里,Saxili
赛乃慕,Senem
沙依木,Sayim
乌兰,Ulan
乌娜,Una
吾日耶提,Uryet
夏提,Xat
依玛,Ima
应玛,Yingma
卓合拉,Zohra
卓西姆,Zoxim
巴图,Batu
格齐,Gochi
妲蒂,Dati
则南蒂,Zenati 
纳珠,Nazu
昆珠,Kunzhu
慕蒂,Muti
西琳,Shirin 
夏拉,Xara
桑克颉,Sankerji
天神,celestials
怀见,Huaijian
怀理,Huaili
怀宁,Huaining
怀朔,Huaishuo
怀思,Huaisi
怀望,Huaiwang
怀溪,Huaixi
怀心,Huaixin
怀真,Huaizhen
槐米,Huaimi
槐枝,Huaizhi
净慈,Jingci
净慧,Jinghui
净觉,Jingjue
净念,Jingnian
静澈,Jingche
静慈,Jingci
静空,Jingkong
静离,Jingli
静悟,Jingwu
静贤,Jingxian
静修,Jingxiu
静言,Jingyan
静语,Jingyu
灵观,Lingguan
灵梦,Lingmeng
灵思,Lingsi
灵修,Lingxiu
灵意,Lingyi
明尘,Mingchen
明光,Mingguang
明靖,Mingjing
明觉,Mingjue
明迷,Mingmi
明如,Mingru
明石,Mingshi
明弈,Mingyi
明幽,Mingyou
明召,Mingzhao
禄翠,Lucui
禄珠,Luzhu
虚寂,Xuji
虚凉,Xuliang
虚清,Xuqing
虚宜,Xuyi
虚邑,Xuyi
虚止,Xuzhi
璇慈,Xuanci
璇玑,Xuanji
璇谨,Xuanjin
璇铁,Xuantie
璇叶,Xuanye
璇玉,Xuanyu
璇云,Xuanyun
秋兰,Qiulan
秋英,Qiuying
元安,Yuan'an
元通,Yuantong
元亦,Yuanyi
元越,Yuanyue
蔡婆,Granny Cai
茶露,Chalu
茶颜,Chayan
婵幽,Chanyou
陈嫂,Auntie Chen
仇敬,Qiu Jing
仇仲,Qiu Zhong
楚碧痕,Chu Bihen
道闰,Daorun
道臻,Daozhen
葛大娘,Auntie Ge
工长君,Gong-Chang-Jun
官差甲,Officer A
官差乙,Officer B
归邪,Guixie
狐三太爷,Lord Fox
狐三太爷,Third Grand Lord Fox
幻天影,Mirage
火焱,FireBlaze
惑影,Glamour
寂同岚,Solitary-Haze
贾大嘴,Big-Mouth Jia
姜氏,Lady Jiang
金·水滴好人,Golden WaterdropGoodPerson
金兰,Jin Lan
金盏,Jin Zhan
鲸鱼,Whale
景阳,Jing Yang
酒仙翁,Wine Immortal Elder
菊香,Juxiang
飓夕,Stormdusk
客人甲,Guest A
客人乙,Guest B
魁召,Kuizhao
癞头,Scabbyhead
老者,Elder
乐陵,Yue Ling
莲琪,Lianqi
刘捕快,Constable Liu
刘二嫂,Auntie Liu
卢莫石,Lu Moshi
麻八,PockEight
莫如长,Mo Ruchang
某树,Mou Shu
牡丹,Mudan
潘大爷,Uncle Pan
普尖,Pujian
钱婆婆,Granny Qian
巧婶,Aunt Qiao
青年,Youth
青年甲,Youth A
青年乙,Youth B
青阳,Qingyang
秋荻,Qiu Di
任老爹,Uncle Ren
熔岩兽王, Lava Beast King
三顺,Sanshun
少年,Youth
少女,Young Girl
石榴,Shiliu
束幻,Shuhuan
太清真人,Taiqing Perfected Person
谭婆,Granny Tan
天堂我恨神,Heaven-I-hate-god
铁钳,IronClaw
瞳幽,Tongyou
胃妖,Wei Yao
雾惑,Fogglamour
昔琳,Silin
奚仲,Xizhong
溪莲,Xilian
小怜,Xiaolian
谢媒婆,Matchmaker Xie
赝月,Yanyue
泱瑢,Deepchime
耀咚,Yaodong
意菲菲,Yifeifei
殷大娘,Auntie Yin
幽蒙,Youmeng
幼幻,Illuspawn
玉芙蓉,Yufurong
御前带两把刀,Two-Swords-Before-the-Emperor
月桂,Yuegui
赵员外,Squire Zhao
重光,Chongguang
子陌,Zimo
宗炼,Zonglian
琢韵,ChiselRhyme
貘,Baku
梦貘,Baku
重伤的貘,Severely Injured Baku
勇气,Brave
勇气猪,Brave Pig
鬼卒,ghost guard
————,————

地名/建筑,translation
五灵剑阁,Five Elements Sword Pavilion
剑舞坪,Sword Dance Terrace
卷云台,Cloud Terrace
思返谷,Reflection Valley
承天剑台,Chengtian Sword Platform
播仙镇,Boxian Town
琼华派,Qionghua Sect
锁妖塔,Demon-Locking Tower
禁地,Forbidden Area
蜀山,Shu Mountain
巢湖,Chao Lake
女萝岩,Nvluo Rock
客栈,inn
柳府,Liu Mansion
县令府,the magistrate's mansion
弦歌台,Melody Terrace
倚栏歌榭,Yilan Song Pavilion
千佛塔,Thousand Buddha Pagoda
琼华宫,Qionghua Palace
八公山,Bagong Mountain
隐香山,Yinxiang Mountain
幻瞑宫,Twilight Palace
幻瞑宫·表,Twilight Palace Outer
幻瞑宫·里,Twilight Palace Inner
播仙镇,Boxian Town
不周山,Mount Buzhou
酆都,Fengdu
封神陵,Fengshen Mausoleum
