ID,任务变量,任务编号,任务名称,任务图片,说明文字,初版翻译,其他备选
1,0,10201,回房拿弓箭,Z_10201,想猎山猪，两手空空可不行，回小木屋取了弓和剑再说吧！,"To hunt Wild Boar, going empty-handed won't do. Return to Small Cabin to fetch your bow and sword first!",
2,0,10300,进洞抓山猪,Z_10300,现在可以去西北面的石沉溪洞追山猪啦！,Now you can go to the Stone Sink Creek Cave northwest to pursue Wild Boar!,
3,0,10400,洞中找猪妖,Z_10400,不知猪妖到底跑去了哪儿，看来得去山洞里面找找了。,Not sure where the pig demon ran off to; seems we need to search inside the cave.,
4,0,10600,洞中找猪妖,Z_10600,不知猪妖到底跑去了哪儿，看来得去山洞里面找找了。,Not sure where the pig demon ran off to; seems we need to search inside the cave.,
5,0,11100,进密室查看,Z_11100,菱纱已经闯进了密室，快跟去看看！,"Lingsha has already barged into the secret chamber, hurry and follow to see!",
6,0,11400,回屋收拾,Z_11400,万一爹生气找来就惨了，还是回木屋收拾东西跟菱纱一起下山吧。,"If Dad gets angry and comes looking, it'll be terrible. Better go back to the cabin, pack up, and go down the mountain with Lingsha.",
7,0,11500,树屋取物,Z_11500,重要的东西都拿了，下山之前，再去一次树屋就好，树屋就在青鸾峰那棵大树上面～,"Got all the important things. Before leaving, just need to go to Tree House once more. It's on that big tree at Green Luan Peak~",
8,0,20200,入世下山,Z_20200,东西都收拾好了，可以从青鸾峰西南面的紫云架下山。,Everything is packed; you can descend the mountain from the southwest side of Green Luan Peak via Ziyun Ridge.,
9,0,20300,村中闲逛,Z_20300,菱纱去找村长了，现在可以在村子里随便逛逛。,Lingsha has gone to find the village chief. You can now wander around the village freely.,
10,0,20600,回村无路,Z_20600,已经不能待在太平村里了，只有先去村外的树林再说。,Can no longer stay in Taiping Village; must first go to the forest outside the village.,
11,0,20800,湖边过夜,Z_20800,天快黑了，菱纱不喜欢睡树林，所以尽快赶到巢湖湖边吧。,"It's getting dark. Lingsha dislikes sleeping in the woods, so hurry to the shore of Lake Chao.",
12,0,20900,夜半猎熊,Z_20900,饿得睡不着觉，不如去树林里猎熊。,"Too hungry to sleep, might as well go hunt bears in the forest.",
13,0,21600,前去寿阳,Z_21600,沿着湖边往西北走就能到寿阳城，无论是要吃东西还是要休息，总是城里比较方便。,"Follow the lakeshore northwest to reach Shouyang City. Whether for food or rest, the city is always more convenient.",
14,0,21700,阳春客栈,Z_21700,菱纱饿了，所以要先去南城门附近的“阳春客栈”买东西吃。,"Lingsha is hungry, so first go to Yangchun Inn near the south gate to buy food.",
