特技说明,初版翻译,来自Bosco的翻译,其他备选,第三版翻译
猎兽,Hunting Beast,,,Beast Hunt
飞羽箭,Feather Arrow,,,Feather Arrow
落星式,Falling Star St.,,,Falling Star St.
膝裂,Knee Split,,,Knee Split
逐月式,Moon-Chase St.,,,Moon-Chase St.
狂煞,Frenzy,,,Frenzy
恸天贯日式,MournSky St.,,,MournSky St.
搜囊探宝,Search Pockets,,,Pocket Search
凌空摘星,Pluck Stars,,,Pluck Stars
烟雨夺魂,Misty Rain,,,Misty Rain
乾坤一掷,Cosmoss Toss,All In,,All In
五毒砂,Five Poison Sand,,,FivePoisonSand
无影连剑诀,NoShadow Sword,,,ShadowCombo
沉水润心,Calming Dew,,,Calming Dew
天玄五音,Celest. Notes,,,Celest. Notes
熏檀净衣,Purify Incense,,,Purify Incense
苏合通窍,Vitality Aroma,,,Vitality Aroma
醉生梦死,Drunken Dream,,,Drunken Dream
魂梦魅曲,Enchant Melody,,,Enchant Melody
三才朝元,3Powers Unite,,,Tri-Powers Unite
四方肃敛,4Quiescence,,,Quad-Quiescence
化相真如剑,Illusory Sword,,,Illusory Sword
五灵归宗,Five Elem. Ret.,,,Quint-Return
千方残光剑,Flash Swords,,,Flash Swords
上清破云剑,Sky Shatter,,,Sky Shatter
废除特技5527,Abolish Skill 5527,,,Abolish Skill 5527
废除特技5528,Abolish Skill 5528,,,Abolish Skill 5528
废除特技5529,Abolish Skill 5529,,,Abolish Skill 5529
废除特技5530,Abolish Skill 5530,,,Abolish Skill 5530
废除特技5531,Abolish Skill 5531,,,Abolish Skill 5531
废除特技5532,Abolish Skill 5532,,,Abolish Skill 5532
废除特技5533,Abolish Skill 5533,,,Abolish Skill 5533
废除特技5534,Abolish Skill 5534,,,Abolish Skill 5534
废除特技5535,Abolish Skill 5535,,,Abolish Skill 5535
废除特技5536,Abolish Skill 5536,,,Abolish Skill 5536
废除特技5537,Abolish Skill 5537,,,Abolish Skill 5537
废除特技5538,Abolish Skill 5538,,,Abolish Skill 5538
鬼炼狂魔,Ghost Refine Demon,,,Ghost Refine Demon
废除特技5540,Abolish Skill 5540,,,Abolish Skill 5540
废除特技5541,Abolish Skill 5541,,,Abolish Skill 5541
废除特技5542,Abolish Skill 5542,,,Abolish Skill 5542
金刚咒,Diamond Mantra,,,Diamond Mantra
废除特技5544,Abolish Skill 5544,,,Abolish Skill 5544
废除特技5545,Abolish Skill 5545,,,Abolish Skill 5545
废除特技5546,Abolish Skill 5546,,,Abolish Skill 5546
废除特技5547,Abolish Skill 5547,,,Abolish Skill 5547
废除特技5548,Abolish Skill 5548,,,Abolish Skill 5548
废除特技5549,Abolish Skill 5549,,,Abolish Skill 5549
废除特技5550,Abolish Skill 5550,,,Abolish Skill 5550
废除特技5551,Abolish Skill 5551,,,Abolish Skill 5551
废除特技5552,Abolish Skill 5552,,,Abolish Skill 5552
废除特技5553,Abolish Skill 5553,,,Abolish Skill 5553
废除特技5554,Abolish Skill 5554,,,Abolish Skill 5554
废除特技5555,Abolish Skill 5555,,,Abolish Skill 5555
废除特技5556,Abolish Skill 5556,,,Abolish Skill 5556
废除特技5557,Abolish Skill 5557,,,Abolish Skill 5557
废除特技5558,Abolish Skill 5558,,,Abolish Skill 5558
废除特技5559,Abolish Skill 5559,,,Abolish Skill 5559
